RUN	computerdatabase.BasicSimulation	basicsimulation	1738100760950	test description	3.7.6
USER	Scenario Name	START	1738100762259
REQUEST		request_1	1738100762311	1738100762619	OK	 
REQUEST		request_1 Redirect 1	1738100762641	1738100762783	OK	 
REQUEST		request_2	1738100769813	1738100769948	OK	 
REQUEST		request_3	1738100771961	1738100772094	OK	 
REQUEST		request_4	1738100775102	1738100775233	OK	 
REQUEST		request_4 Redirect 1	1738100775234	1738100775368	OK	 
REQUEST		request_5	1738100777381	1738100777511	OK	 
REQUEST		request_6	1738100778195	1738100778328	OK	 
REQUEST		request_7	1738100778975	1738100779103	OK	 
REQUEST		request_8	1738100779852	1738100779982	OK	 
REQUEST		request_9	1738100784997	1738100785134	OK	 
REQUEST		request_10	1738100786142	1738100786272	OK	 
REQUEST		request_10 Redirect 1	1738100786289	1738100786425	OK	 
USER	Scenario Name	END	1738100786430
